timestamp,ph,tds_ppm
2025-04-25T10:01:40,7.64,158.68
2025-04-25T10:01:42,7.92,154.13
2025-04-25T10:01:44,7.99,151.45
2025-04-25T10:01:46,8.05,149.46
2025-04-25T10:01:48,8.1,148.28
2025-04-25T10:01:50,8.16,146.64
2025-04-25T10:01:52,8.21,146.05
2025-04-25T10:01:54,8.23,144.88
2025-04-25T10:01:56,8.29,144.41
2025-04-25T10:01:58,8.35,143.82
2025-04-25T10:02:00,8.35,143.11
2025-04-25T10:02:02,8.38,142.05
2025-04-25T10:02:04,8.4,141.58
2025-04-25T10:02:06,8.4,141.23
2025-04-25T10:02:08,8.4,140.16
2025-04-25T10:02:10,8.4,138.04
2025-04-25T10:02:12,8.39,135.55
2025-04-25T10:02:14,8.35,134.24
2025-04-25T10:02:16,8.39,133.65
2025-04-25T10:02:18,8.41,132.46
2025-04-25T10:02:20,8.41,130.68
2025-04-25T10:02:22,8.41,129.73
2025-04-25T10:02:24,8.45,129.73
2025-04-25T10:02:26,8.46,126.98
2025-04-25T10:02:28,8.47,126.38
2025-04-25T10:02:30,8.44,123.15
2025-04-25T10:02:32,8.44,122.31
2025-04-25T10:02:34,8.43,121.95
2025-04-25T10:02:36,8.41,120.39
2025-04-25T10:02:38,8.39,120.51
2025-04-25T10:02:40,8.33,120.27
2025-04-25T10:02:42,8.3,119.55
2025-04-25T10:02:44,8.28,119.43
2025-04-25T10:02:46,8.28,118.94
2025-04-25T10:02:48,8.23,118.7
2025-04-25T10:02:50,8.21,119.18
2025-04-25T10:02:52,8.16,118.22
2025-04-25T10:02:54,8.16,119.55
2025-04-25T10:02:56,8.17,118.58
2025-04-25T10:02:58,8.14,119.31
2025-04-25T10:03:00,8.07,118.7
2025-04-25T10:03:02,8.07,118.82
2025-04-25T10:03:04,8.03,119.06
2025-04-25T10:03:06,8.05,119.43
2025-04-25T10:03:08,8.02,118.82
2025-04-25T10:03:10,7.99,119.06
2025-04-25T10:03:12,7.85,122.79
2025-04-25T10:03:14,7.36,120.51
2025-04-25T10:03:16,7.3,21.85
2025-04-25T10:03:18,7.28,34.87
2025-04-25T10:03:20,7.26,10.12
2025-04-25T10:03:22,7.2,7.22
2025-04-25T10:03:24,7.26,7.22
2025-04-25T10:03:26,7.21,7.22
2025-04-25T10:03:28,6.96,6.25
2025-04-25T10:03:30,6.89,5.7
2025-04-25T10:03:32,6.87,7.91
2025-04-25T10:03:34,6.87,6.81
2025-04-25T10:03:36,6.84,6.67
2025-04-25T10:03:38,6.84,6.11
2025-04-25T10:03:40,6.81,5.14
2025-04-25T10:03:42,6.82,5.84
2025-04-25T10:03:44,6.82,4.59
2025-04-25T10:03:46,6.81,4.87
2025-04-25T10:03:48,6.82,4.45
2025-04-25T10:03:50,6.83,4.87
2025-04-25T10:03:52,6.82,4.73
2025-04-25T10:03:54,6.82,4.31
2025-04-25T10:03:56,6.82,4.73
2025-04-25T10:03:58,6.82,4.45
2025-04-25T10:04:00,6.82,4.59
2025-04-25T10:04:02,6.82,4.45
2025-04-25T10:04:04,6.82,4.31
2025-04-25T10:04:06,6.82,4.45
2025-04-25T10:04:08,6.82,4.45
2025-04-25T10:04:10,6.81,4.17
2025-04-25T10:04:12,6.82,4.31
2025-04-25T10:04:14,6.85,4.31
2025-04-25T10:04:16,6.84,4.45
2025-04-25T10:04:18,6.83,4.59
2025-04-25T10:04:20,6.85,4.45
2025-04-25T10:04:22,6.85,4.59
2025-04-25T10:04:24,6.86,4.17
2025-04-25T10:04:26,6.87,4.31
2025-04-25T10:04:28,6.87,4.31
2025-04-25T10:04:30,6.87,4.31
2025-04-25T10:04:32,6.88,4.31
2025-04-25T10:04:34,6.87,4.17
2025-04-25T10:04:36,6.88,4.31
2025-04-25T10:04:38,6.87,4.31
2025-04-25T10:04:40,6.89,4.17
2025-04-25T10:04:42,6.88,4.04
2025-04-25T10:04:44,6.9,4.04
2025-04-25T10:04:46,6.9,4.04
2025-04-25T10:04:48,6.91,4.17
2025-04-25T10:04:50,6.91,4.17
2025-04-25T10:04:52,6.92,4.31
2025-04-25T10:04:54,6.93,4.17
2025-04-25T10:04:56,6.93,3.9
2025-04-25T10:04:58,6.93,4.17
2025-04-25T10:05:00,6.94,4.04
2025-04-25T10:05:02,6.94,4.17
2025-04-25T10:05:04,6.94,4.04
2025-04-25T10:05:06,6.94,4.17
2025-04-25T10:05:08,6.94,4.17
2025-04-25T10:05:10,6.95,4.31
2025-04-25T10:05:12,6.96,4.04
2025-04-25T10:05:14,6.98,4.04
2025-04-25T10:05:16,6.98,4.17
2025-04-25T10:05:18,6.98,4.04
2025-04-25T10:05:20,6.99,4.17
2025-04-25T10:05:22,6.99,3.9
2025-04-25T10:05:24,6.99,3.62
2025-04-25T10:05:26,7.0,4.31
2025-04-25T10:05:28,7.0,6.25
2025-04-25T10:05:30,7.0,6.53
2025-04-25T10:05:32,7.0,6.25
2025-04-25T10:05:34,7.0,4.59
2025-04-25T10:05:36,7.01,4.59
2025-04-25T10:05:38,7.01,4.73
2025-04-25T10:05:40,7.01,4.87
2025-04-25T10:05:42,7.01,5.14
2025-04-25T10:05:44,7.02,4.73
2025-04-25T10:05:46,7.02,4.45
2025-04-25T10:05:48,7.01,4.73
2025-04-25T10:05:50,7.02,5.14
2025-04-25T10:05:52,7.03,5.01
2025-04-25T10:05:54,7.03,4.59
2025-04-25T10:05:56,7.04,4.59
2025-04-25T10:05:58,7.04,5.14
2025-04-25T10:06:00,7.14,4.73
2025-04-25T10:06:02,7.12,0.98
2025-04-25T10:06:04,7.03,1.53
2025-04-25T10:06:06,7.06,0.28
2025-04-25T10:06:08,7.06,1.12
2025-04-25T10:06:10,7.04,0.7
2025-04-25T10:06:12,7.02,0.98
2025-04-25T10:06:14,7.01,1.12
2025-04-25T10:06:16,6.9,4.31
2025-04-25T10:06:18,6.96,1.95
2025-04-25T10:06:20,6.99,1.95
2025-04-25T10:06:22,6.94,1.95
2025-04-25T10:06:24,6.91,2.37
2025-04-25T10:06:26,6.97,2.79
2025-04-25T10:06:28,6.96,0.42
2025-04-25T10:06:30,6.94,0.0
2025-04-25T10:06:32,6.92,0.0
2025-04-25T10:06:34,7.22,0.56
2025-04-25T10:06:36,6.91,0.42
2025-04-25T10:06:38,6.87,0.14
2025-04-25T10:06:40,6.73,2.09
2025-04-25T10:06:42,6.75,2.23
2025-04-25T10:06:44,6.73,0.14
2025-04-25T10:06:46,10.78,0.84
2025-04-25T10:06:48,11.0,7.63
2025-04-25T10:06:50,10.63,9.57
2025-04-25T10:06:52,6.63,8.88
2025-04-25T10:06:54,6.54,8.74
2025-04-25T10:06:56,6.49,9.57
